?,Raceline,Speed changing,,,,,,,,,,
Explain variance,0.91183025,0.90582301,0.93172535,0.9382262,0.9127025,0.91183314,0.93901742,0.90906413,0.93952379,0.94154867,0.92913605,0.93952419
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Raceline,Speed capped,,,,,,,,,,
YasMarina/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,n/a,126.81,45.17,195.58,263.31,50.92,n/a,n/a,n/a,45.47,n/a
RMSE,n/a,n/a,0.09826507,0.11833871,0.10371116,0.26581305,0.09077648,n/a,n/a,n/a,0.09592733,n/a
R2,n/a,n/a,0.97534266,0.96423967,0.97253378,0.81957345,0.97895764,n/a,n/a,n/a,0.97650191,n/a
Explain variance,n/a,n/a,0.97690404,0.96700029,0.97578751,0.8224964,0.98188128,n/a,n/a,n/a,0.97930044,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,23.59,7.3,19.5,2.95,60.94,82.15,n/a,n/a,n/a,n/a,24.1,n/a
RMSE,0.1466981,0.16936624,0.12366307,0.14676039,0.13260349,0.14219623,n/a,n/a,n/a,n/a,0.1250936,n/a
R2,0.94395658,0.9252985,0.96017501,0.94390898,0.95420843,0.94734352,n/a,n/a,n/a,n/a,0.9592483,n/a
Explain variance,0.94724903,0.92826455,0.9616797,0.94722491,0.95747603,0.95047493,n/a,n/a,n/a,n/a,0.96241379,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RQ * RBF,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,14.9,3.73,4.15,1.13,21.8,12.12,2.85,n/a,n/a,n/a,5.4,n/a
RMSE,n/a,n/a,0.15882839,0.17610777,0.15811093,0.17861926,0.15889406,n/a,n/a,n/a,0.15700885,n/a
R2,n/a,n/a,0.93463373,0.9196373,0.93522294,0.91732885,0.93457967,n/a,n/a,n/a,0.93612283,n/a
Explain variance,n/a,n/a,0.93853474,0.92189568,0.9377461,0.92285933,0.9370774,n/a,n/a,n/a,0.93858744,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed capped,,,,,,,,,,
YasMarina/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,n/a,33.69,116.69,42.72,97.24,142.91,n/a,n/a,n/a,n/a,18.03,n/a
RMSE,n/a,0.20323264,0.20816859,0.20410724,0.1656858,0.14998034,n/a,n/a,n/a,n/a,0.19537945,n/a
R2,n/a,0.91795767,0.91392412,0.91725002,0.94547174,0.95531933,n/a,n/a,n/a,n/a,0.92417563,n/a
Explain variance,n/a,0.9403226,0.94791834,0.94043951,0.97257808,0.96456824,n/a,n/a,n/a,n/a,0.94757863,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
